index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
0,#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
12,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,100.0,100.00000,,,,,
13,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2013.0,2013,,WPR,Western Pacific,,PHL,2013,2013,Philippines,,92.0,92.00000,,,,,
14,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,25.0,25.00000,,,,,
15,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
16,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
17,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
18,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
19,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,86.0,86.00000,,,,,
20,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
21,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,57.0,57.00000,,,,,
22,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,31.0,31.00000,,,,,
23,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,33.0,33.00000,,,,,
24,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,47.0,47.00000,,,,,
25,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,100.0,100.00000,,,,,
26,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2012.0,2012,,WPR,Western Pacific,,PHL,2012,2012,Philippines,,93.0,93.00000,,,,,
27,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,0.0,0.00000,,,,,
28,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,48.0,48.00000,,,,,
29,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,88.0,88.00000,,,,,
30,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,58.0,58.00000,,,,,
31,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,66.0,66.00000,,,,,
32,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,90.0,90.00000,,,,,
33,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,33.0,33.00000,,,,,
34,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,80.0,80.00000,,,,,
35,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,89.0,89.00000,,,,,
36,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,76.0,76.00000,,,,,
37,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,33.0,33.00000,,,,,
38,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,21.0,21.00000,,,,,
39,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2010.0,2010,,WPR,Western Pacific,,PHL,2010,2010,Philippines,,20.0,20.00000,,,,,
40,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,0.0,0.00000,,,,,
41,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,80.0,80.00000,,,,,
42,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,100.0,100.00000,,,,,
43,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,93.0,93.00000,,,,,
44,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,75.0,75.00000,,,,,
45,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,86.0,86.00000,,,,,
46,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,100.0,100.00000,,,,,
47,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,90.0,90.00000,,,,,
48,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,57.0,57.00000,,,,,
49,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,67.0,67.00000,,,,,
50,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,92.0,92.00000,,,,,
51,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,75.0,75.00000,,,,,
52,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2011.0,2011,,WPR,Western Pacific,,PHL,2011,2011,Philippines,,50.0,50.00000,,,,,
53,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,100.0,100.00000,,,,,
54,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,73.0,73.00000,,,,,
55,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,90.0,90.00000,,,,,
56,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,100.0,100.00000,,,,,
57,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,90.0,90.00000,,,,,
58,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,86.0,86.00000,,,,,
59,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,80.0,80.00000,,,,,
60,IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,90.0,90.00000,,,,,
61,IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,28.0,28.00000,,,,,
62,IHR10,Zoonosis,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4416,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,89.0,89.00000,,,,,
63,IHR11,Food safety,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4417,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,80.0,80.00000,,,,,
64,IHR12,Chemical,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4418,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,85.0,85.00000,,,,,
65,IHR13,Radionuclear,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4419,PUBLISHED,Published,,2014.0,2014,,WPR,Western Pacific,,PHL,2014,2014,Philippines,,100.0,100.00000,,,,,
66,IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,100.0,100.00000,,,,,
67,IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,80.0,80.00000,,,,,
68,IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,95.0,95.00000,,,,,
69,IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,100.0,100.00000,,,,,
70,IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,90.0,90.00000,,,,,
71,IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,100.0,100.00000,,,,,
72,IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2015.0,2015,,WPR,Western Pacific,,PHL,2015,2015,Philippines,,80.0,80.00000,,,,,
